gene,species
ppp1cc-b,gamo_cpg
SH2B3,gamo_cpg
Atxn2,gamo_cpg
BRAP,gamo_cpg
ALDH2,gamo_cpg
NAA25,gamo_cpg
TRAFD1,gamo_cpg
HECTD4,gamo_cpg
RPH3A,gamo_cpg
WSCD2,gamo_cpg
CORO1C,gamo_cpg
SSH1,gamo_cpg
DAO,gamo_cpg
Ung,gamo_cpg
ACACB,gamo_cpg
foxn4,gamo_cpg
MYO1H,gamo_cpg
KCTD10,gamo_cpg
ube3b,gamo_cpg
TRPV4,gamo_cpg
GIT2,gamo_cpg
ANKRD13A,gamo_cpg
SGSM1,gamo_cpg
CRYBB2,gamo_cpg
GRK3,gamo_cpg
MYO18B,gamo_cpg
SEZ6L,gamo_cpg
HPS4,gamo_cpg
TFIP11,gamo_cpg
TTC28,gamo_cpg
HSCB,gamo_cpg
CCDC117,gamo_cpg
SLC2A11,gamo_cpg
ZNRF3,gamo_cpg
ULK1,gamo_cpg
EP400,gamo_cpg
FBRSL1,gamo_cpg
AUTS2,gamo_cpg
ZDHHC8,gamo_cpg
TRMT2A,gamo_cpg
Dgcr8,gamo_cpg
TANGO2,gamo_cpg
tbx1-b,gamo_cpg
Gp1bb,gamo_cpg
CDC45,gamo_cpg
PPIL2,gamo_cpg
MAPK1,gamo_cpg
Cltc,gamo_cpg
SLC25A1,gamo_cpg
THADA,gamo_cpg
Gsc2,gamo_cpg
Ca15,gamo_cpg
MED13L,gamo_cpg
RBM19,gamo_cpg
PLBD2,gamo_cpg
TPCN1,gamo_cpg
RITA1,gamo_cpg
DDX54,gamo_cpg
TAOK3,gamo_cpg
SUDS3,gamo_cpg
SRRM4,gamo_cpg
TMEM233,gamo_cpg
PRKAB1,gamo_cpg
CIT,gamo_cpg
bicdl1,gamo_cpg
GCN1,gamo_cpg
MSI1,gamo_cpg
Sppl3,gamo_cpg
RNF185,gamo_cpg
EIF4ENIF1,gamo_cpg
ANHX,gamo_cpg
SLC5A1,gamo_cpg
BCR,gamo_cpg
ADORA2A,gamo_cpg
UPB1,gamo_cpg
Lrrc75b,gamo_cpg
LRRC75A,gamo_cpg
DDX51,gamo_cpg
MIF,gamo_cpg
mmp11,gamo_cpg
Rnft2,gamo_cpg
RCJMB04_18o22,gamo_cpg
Fbxw8,gamo_cpg
FBXO21,gamo_cpg
NOS1,gamo_cpg
WSB2,gamo_cpg
AP1B1,gamo_cpg
THOC5,gamo_cpg
Nipsnap1,gamo_cpg
Cabp7,gamo_cpg
ASCC2,gamo_cpg
MTMR3,gamo_cpg
LIF,gamo_cpg
TBC1D10A,gamo_cpg
SF3A1,gamo_cpg
CCDC157,gamo_cpg
Scarf2,gamo_cpg
DGCR6,gamo_cpg
PLA2G3,gamo_cpg
Inpp5j,gamo_cpg
SMTN,gamo_cpg
MORC2,gamo_cpg
ZNF271,gamo_cpg
Man1b1,gamo_cpg
ABCA2,gamo_cpg
Lipocalin,gamo_cpg
C8g,gamo_cpg
FBXW5,gamo_cpg
TRAF2,gamo_cpg
RABL6,gamo_cpg
AMBP,gamo_cpg
EXD3,gamo_cpg
ENTPD8,gamo_cpg
ndor1,gamo_cpg
Rnf224,gamo_cpg
Lrrc26,gamo_cpg
ZNF618,gamo_cpg
RGS3,gamo_cpg
WDR31,gamo_cpg
FKBP15,gamo_cpg
Lrsam1,gamo_cpg
Zmynd19,gamo_cpg
Pnpla7,gamo_cpg
NSMF,gamo_cpg
Anapc2,gamo_cpg
DDR2,gamo_cpg
ENTPD2,gamo_cpg
NELFB,gamo_cpg
glul,gamo_cpg
EHMT1,gamo_cpg
Cacna1b,gamo_cpg
Col1a2,gamo_cpg
FAM129B,gamo_cpg
STXBP1,gamo_cpg
AKNA,gamo_cpg
Whrn,gamo_cpg
TNFSF15,gamo_cpg
TNC,gamo_cpg
ASTN2,gamo_cpg
NAIF1,gamo_cpg
fam102a,gamo_cpg
ST6GALNAC6,gamo_cpg
Eng,gamo_cpg
CDK9,gamo_cpg
Sh2d3c,gamo_cpg
DNM1,gamo_cpg
ODF2,gamo_cpg
GLE1,gamo_cpg
Wdr34,gamo_cpg
Spout1,gamo_cpg
NUP188,gamo_cpg
SH3GLB2,gamo_cpg
CRAT,gamo_cpg
PTPA,gamo_cpg
Gpr107,gamo_cpg
Ncs1,gamo_cpg
HMCN2,gamo_cpg
FUBP3,gamo_cpg
fibcd1-b,gamo_cpg
LAMC3,gamo_cpg
Aif1l,gamo_cpg
NUP214,gamo_cpg
FAM78A,gamo_cpg
RAPGEF1,gamo_cpg
MED27,gamo_cpg
CFAP77,gamo_cpg
BARHL1,gamo_cpg
DDX31,gamo_cpg
TSC1,gamo_cpg
RGL1,gamo_cpg
CACFD1,gamo_cpg
ADAMTSL2,gamo_cpg
FAM163B,gamo_cpg
DBH,gamo_cpg
SARDH,gamo_cpg
VAV2,gamo_cpg
OLFM1,gamo_cpg
fam69b,gamo_cpg
Notch1,gamo_cpg
SEC16A,gamo_cpg
Inpp5e,gamo_cpg
SNAPC4,gamo_cpg
CARD9,gamo_cpg
Gpsm1,gamo_cpg
Nacc2,gamo_cpg
CAMSAP1,gamo_cpg
KCNT1,gamo_cpg
cuta,gamo_cpg
PHF19,gamo_cpg
CNTRL,gamo_cpg
GSN,gamo_cpg
STOM,gamo_cpg
DAB2IP,gamo_cpg
TTLL11,gamo_cpg
LHX6,gamo_cpg
RBM18,gamo_cpg
MRRF,gamo_cpg
PTGS1,gamo_cpg
ZBTB6,gamo_cpg
ZBTB26,gamo_cpg
RABGAP1,gamo_cpg
STRBP,gamo_cpg
Lhx2,gamo_cpg
NEK6,gamo_cpg
Psmb7,gamo_cpg
ADGRD2,gamo_cpg
NR5A1,gamo_cpg
Nr6a1,gamo_cpg
SCAI,gamo_cpg
GOLGA1,gamo_cpg
PPP6C,gamo_cpg
GAPVD1,gamo_cpg
MAPKAP1,gamo_cpg
PBX3,gamo_cpg
MVB12B,gamo_cpg
LMX1B,gamo_cpg
RALGPS1,gamo_cpg
FBXW10,gamo_cpg
Arhgap44,gamo_cpg
PIK3R5,gamo_cpg
NTN1,gamo_cpg
STX8,gamo_cpg
Myh10,gamo_cpg
NDEL1,gamo_cpg
DNAH9,gamo_cpg
Dynein,gamo_cpg
MYOCD,gamo_cpg
tmem220,gamo_cpg
MYH3,gamo_cpg
MYH4,gamo_cpg
CCDC61,gamo_cpg
B3gntl1,gamo_cpg
WDR45B,gamo_cpg
FOXK2,gamo_cpg
Uts2r,gamo_cpg
MROH7,gamo_cpg
9-Sep,gamo_cpg
Tnrc6b,gamo_cpg
TNRC6C,gamo_cpg
MGAT5B,gamo_cpg
MXRA7,gamo_cpg
ST6GALNAC1,gamo_cpg
Ube2o,gamo_cpg
PRPSAP1,gamo_cpg
UBALD2,gamo_cpg
SRP68,gamo_cpg
EVPL,gamo_cpg
ACOX1,gamo_cpg
TRIM47,gamo_cpg
WBP2,gamo_cpg
UNC13D,gamo_cpg
UNK,gamo_cpg
GALK1,gamo_cpg
Itgb4,gamo_cpg
Recql5,gamo_cpg
MYO15B,gamo_cpg
TMEM94,gamo_cpg
MIF4GD,gamo_cpg
GGA3,gamo_cpg
Nup85,gamo_cpg
Ush1g,gamo_cpg
FDXR,gamo_cpg
Grin2c,gamo_cpg
RAB37,gamo_cpg
Xylt2,gamo_cpg
LRRC59,gamo_cpg
Chad,gamo_cpg
RSAD1,gamo_cpg
EPN3,gamo_cpg
SPATA20,gamo_cpg
ANKRD40,gamo_cpg
Spag9,gamo_cpg
TOM1L1,gamo_cpg
Hlf,gamo_cpg
Mmd,gamo_cpg
NOG,gamo_cpg
Gm525,gamo_cpg
DGKE,gamo_cpg
coil,gamo_cpg
Crlf3,gamo_cpg
Adap2,gamo_cpg
rhot2,gamo_cpg
znf207,gamo_cpg
Pecam1,gamo_cpg
SMURF2,gamo_cpg
CACNG4,gamo_cpg
Axin2,gamo_cpg
GNA13,gamo_cpg
SLC16A6,gamo_cpg
ARSG,gamo_cpg
Wipi1,gamo_cpg
PRKAR1A,gamo_cpg
Abca8b,gamo_cpg
MAP2K6,gamo_cpg
KCNJ16,gamo_cpg
COG1,gamo_cpg
CPSF4,gamo_cpg
SDK2,gamo_cpg
ttyh2,gamo_cpg
btbd17,gamo_cpg
Nploc4,gamo_cpg
Bahcc1,gamo_cpg
SLC38A10,gamo_cpg
cep131,gamo_cpg
AATK,gamo_cpg
Baiap2,gamo_cpg
Rptor,gamo_cpg
Endov,gamo_cpg
Rnf213,gamo_cpg
SLC26A11,gamo_cpg
SGSH,gamo_cpg
GAA,gamo_cpg
TBC1D16,gamo_cpg
CBX4,gamo_cpg
Enpp7,gamo_cpg
ENGASE,gamo_cpg
TIMP2,gamo_cpg
CYTH1,gamo_cpg
DNAH17,gamo_cpg
THA1,gamo_cpg
TMC6,gamo_cpg
Hgs,gamo_cpg
Slc25a10,gamo_cpg
Gcgr,gamo_cpg
PCYT2,gamo_cpg
LRRC45,gamo_cpg
Dus1l,gamo_cpg
FASN,gamo_cpg
Mlxipl,gamo_cpg
BAZ1B,gamo_cpg
Fzd9,gamo_cpg
NSUN5,gamo_cpg
POM121C,gamo_cpg
HIP1,gamo_cpg
Mpo,gamo_cpg
EPX,gamo_cpg
TSPOAP1,gamo_cpg
RNF43,gamo_cpg
MTMR4,gamo_cpg
4-Sep,gamo_cpg
Ccdc183,gamo_cpg
GALNT17,gamo_cpg
GTF2I,gamo_cpg
GTF2IRD1,gamo_cpg
MKS1,gamo_cpg
RBBP6,gamo_cpg
CLIP2,gamo_cpg
LAT2,gamo_cpg
mybbp1a,gamo_cpg
Spns3,gamo_cpg
Cyb5d2,gamo_cpg
ATP2A3,gamo_cpg
P2RX1,gamo_cpg
CAMKK1,gamo_cpg
MIS12,gamo_cpg
Myosin,gamo_cpg
CUX1,gamo_cpg
ALKBH4,gamo_cpg
Rasa4,gamo_cpg
DTX2,gamo_cpg
Ywhag,gamo_cpg
Srrm3,gamo_cpg
POR,gamo_cpg
RASL10B,gamo_cpg
Rad51d,gamo_cpg
LIG3,gamo_cpg
tmem132e,gamo_cpg
NF2,gamo_cpg
CCT6,gamo_cpg
CRCP,gamo_cpg
NCBP3,gamo_cpg
YWHAE,gamo_cpg
MYO1C,gamo_cpg
SCARF1,gamo_cpg
PRPF8,gamo_cpg
WDR81,gamo_cpg
DPH1,gamo_cpg
VTN,gamo_cpg
Foxn1,gamo_cpg
KIAA0100,gamo_cpg
SUPT6H,gamo_cpg
NEK8,gamo_cpg
FAM222B,gamo_cpg
PHF12,gamo_cpg
SEZ6,gamo_cpg
MYO18A,gamo_cpg
NUFIP2,gamo_cpg
TAOK1,gamo_cpg
Abhd15,gamo_cpg
GIT1,gamo_cpg
ANKRD13B,gamo_cpg
EFCAB5,gamo_cpg
BLMH,gamo_cpg
CPD,gamo_cpg
GOSR1,gamo_cpg
ABR,gamo_cpg
SPECC1,gamo_cpg
NCOR1,gamo_cpg
P2rx5,gamo_cpg
Trpv3,gamo_cpg
AKAP10,gamo_cpg
nle1,gamo_cpg
ULK2,gamo_cpg
ALDH3A2,gamo_cpg
Slc47a2,gamo_cpg
Fam57a,gamo_cpg
VPS53,gamo_cpg
Rflnb,gamo_cpg
Rph3al,gamo_cpg
Doc2b,gamo_cpg
TEX14,gamo_cpg
PPM1E,gamo_cpg
TRIM37,gamo_cpg
Vmp1,gamo_cpg
INTS2,gamo_cpg
Tbx4,gamo_cpg
myo19,gamo_cpg
PIGW,gamo_cpg
MRM1,gamo_cpg
AATF,gamo_cpg
ACAC,gamo_cpg
HNF1B,gamo_cpg
Heatr6,gamo_cpg
CUEDC1,gamo_cpg
NF1,gamo_cpg
EVI2B,gamo_cpg
KSR1,gamo_cpg
NOS2,gamo_cpg
NLK,gamo_cpg
TNFAIP1,gamo_cpg
SGSM2,gamo_cpg
Cluh,gamo_cpg
RAP1GAP2,gamo_cpg
WSCD1,gamo_cpg
SLC13A5,gamo_cpg
KIAA0753,gamo_cpg
SMYD5,gamo_cpg
Arhgef10l,gamo_cpg
GCC1,gamo_cpg
Dennd6b,gamo_cpg
SBF1,gamo_cpg
STRIP2,gamo_cpg
Nrf1,gamo_cpg
Klhdc10,gamo_cpg
VNX1,gamo_cpg
CPA2,gamo_cpg
CEP41,gamo_cpg
GDI2,gamo_cpg
Net1,gamo_cpg
PLXNA4,gamo_cpg
MKLN1,gamo_cpg
PFKFB3,gamo_cpg
celf2,gamo_cpg
UPF2,gamo_cpg
PHYH,gamo_cpg
Frmd4a,gamo_cpg
TMEM243,gamo_cpg
Itpripl1,gamo_cpg
PTPRZ1,gamo_cpg
Cadps2,gamo_cpg
MOV10L1,gamo_cpg
ZBED4,gamo_cpg
Celsr1,gamo_cpg
TRMU,gamo_cpg
GTSE1,gamo_cpg
KIF21A,gamo_cpg
ABCD2,gamo_cpg
LRRK2,gamo_cpg
SF3B2,gamo_cpg
LAMB1,gamo_cpg
CBLL1,gamo_cpg
COG5,gamo_cpg
SRPK2,gamo_cpg
RELN,gamo_cpg
PMPCB,gamo_cpg
CCDC146,gamo_cpg
GSAP,gamo_cpg
RSBN1L,gamo_cpg
SEMA3C,gamo_cpg
SEMA3A,gamo_cpg
SRGAP1,gamo_cpg
Histone,gamo_cpg
TTC26,gamo_cpg
LUC7L2,gamo_cpg
Rrp7a,gamo_cpg
TCF20,gamo_cpg
Shisa8,gamo_cpg
Srebf2,gamo_cpg
Mei1,gamo_cpg
Desi1,gamo_cpg
Pmm1,gamo_cpg
CSDC2,gamo_cpg
POLR3H,gamo_cpg
Aco2,gamo_cpg
ZC3H7B,gamo_cpg
Chadl,gamo_cpg
L3MBTL2,gamo_cpg
EP300,gamo_cpg
XPNPEP3,gamo_cpg
Mrtfa,gamo_cpg
sgsm3,gamo_cpg
ADSL,gamo_cpg
Cacna1i,gamo_cpg
Atf4,gamo_cpg
mief1,gamo_cpg
Tab1,gamo_cpg
Pdgfb,gamo_cpg
CBX7,gamo_cpg
Cbx6,gamo_cpg
Sun2,gamo_cpg
JOSD1,gamo_cpg
SLC16A3,gamo_cpg
MICALL1,gamo_cpg
EIF3L,gamo_cpg
Gcat,gamo_cpg
TRIOBP,gamo_cpg
Beta-galactoside-binding,gamo_cpg
BARGIN,gamo_cpg
Cdc42ep1,gamo_cpg
Card10,gamo_cpg
Mfng,gamo_cpg
ELFN2,gamo_cpg
IL2RB,gamo_cpg
MPST,gamo_cpg
TST,gamo_cpg
CACNG2,gamo_cpg
FOXRED2,gamo_cpg
TXN2,gamo_cpg
MYH9,gamo_cpg
MB,gamo_cpg
TOM1,gamo_cpg
LARGE1,gamo_cpg
RTCB,gamo_cpg
POLR3B,gamo_cpg
APPL2,gamo_cpg
TXNRD1,gamo_cpg
GLT8D2,gamo_cpg
STAB2,gamo_cpg
SYCP3,gamo_cpg
MYBPC1,gamo_cpg
SPIC,gamo_cpg
Hipk2,gamo_cpg
KIAA1549,gamo_cpg
ATP6V0A4,gamo_cpg
DENND5B,gamo_cpg
KIF3C,gamo_cpg
ICP0,gamo_cpg
SLC13A4,gamo_cpg
PKP2,gamo_cpg
FGD4,gamo_cpg
BICD1,gamo_cpg
TSPAN12,gamo_cpg
WNT16,gamo_cpg
ANKRD26,gamo_cpg
ASZ1,gamo_cpg
WNT2,gamo_cpg
CNTN1,gamo_cpg
GXYLT1,gamo_cpg
TWF1,gamo_cpg
ANO6,gamo_cpg
SLC38A1,gamo_cpg
MON2,gamo_cpg
Avpr1a,gamo_cpg
TMBIM4,gamo_cpg
ERP27,gamo_cpg
ARHGDIB,gamo_cpg
WDR91,gamo_cpg
UTP20,gamo_cpg
APAF1,gamo_cpg
CFAP54,gamo_cpg
CDK17,gamo_cpg
Elk3,gamo_cpg
PLXNC1,gamo_cpg
EEA1,gamo_cpg
PTPRQ,gamo_cpg
PPP1R12A,gamo_cpg
ZDHHC17,gamo_cpg
GLIPR1,gamo_cpg
KCNC2,gamo_cpg
TPH2,gamo_cpg
KCNMB4,gamo_cpg
CTSE,gamo_cpg
LRRC10,gamo_cpg
MDM1,gamo_cpg
IL26,gamo_cpg
BCAT1,gamo_cpg
PRR5,gamo_cpg
KIAA0930,gamo_cpg
WNT7B,gamo_cpg
CDPF1,gamo_cpg
LRP6,gamo_cpg
MANSC4,gamo_cpg
Klhl42,gamo_cpg
FAR1,gamo_cpg
ARHGEF5,gamo_cpg
PARVB,gamo_cpg
SCUBE1,gamo_cpg
TTLL12,gamo_cpg
TSPO,gamo_cpg
MCAT,gamo_cpg
Ybx3,gamo_cpg
ABCC9,gamo_cpg
Kcnj8,gamo_cpg
LRMP,gamo_cpg
PPFIBP1,gamo_cpg
Tm7sf3,gamo_cpg
Dag1,gamo_cpg
ITPR2,gamo_cpg
RASSF8,gamo_cpg
CCND2,gamo_cpg
TRIM24,gamo_cpg
Slc7a11,gamo_cpg
MKRN1,gamo_cpg
DENND2A,gamo_cpg
WASHC1,gamo_cpg
Iqsec3,gamo_cpg
SLC6A13,gamo_cpg
KDM5A,gamo_cpg
B4GALNT3,gamo_cpg
WNK1,gamo_cpg
Erc1,gamo_cpg
Fbxl14,gamo_cpg
ADIPOR2,gamo_cpg
CACNA1C,gamo_cpg
IL17RA,gamo_cpg
HDHD5,gamo_cpg
ada2,gamo_cpg
CECR2,gamo_cpg
PTPRO,gamo_cpg
EPS8,gamo_cpg
Dera,gamo_cpg
LMO3,gamo_cpg
PLEKHA5,gamo_cpg
PDE3A,gamo_cpg
SLCO1C1,gamo_cpg
METTL15P1,gamo_cpg
METTL15,gamo_cpg
Rcn1,gamo_cpg
KIAA1549L,gamo_cpg
SPON1,gamo_cpg
PPFIBP2,gamo_cpg
PTH,gamo_cpg
Tead1,gamo_cpg
MICALCL,gamo_cpg
MICAL2,gamo_cpg
USP47,gamo_cpg
GAS2,gamo_cpg
FANCF,gamo_cpg
Pim1,gamo_cpg
Slc6a5,gamo_cpg
PRMT3,gamo_cpg
NAV2,gamo_cpg
CCND1,gamo_cpg
ANO1,gamo_cpg
GOLGB1,gamo_cpg
ABTB2,gamo_cpg
FADS1,gamo_cpg
RAB3IL1,gamo_cpg
GRK2,gamo_cpg
Ssh3,gamo_cpg
GLYATL3,gamo_cpg
CARNS1,gamo_cpg
Coro1b,gamo_cpg
CABP4,gamo_cpg
Osbp,gamo_cpg
MS4A12,gamo_cpg
SYT7,gamo_cpg
MYRF,gamo_cpg
SYT12,gamo_cpg
Pkp3,gamo_cpg
Ctnnd1,gamo_cpg
Plcb2,gamo_cpg
Ccdc32,gamo_cpg
Aldh3b1,gamo_cpg
SPTB,gamo_cpg
Nup160,gamo_cpg
MTCH2,gamo_cpg
RAB15,gamo_cpg
Fntb,gamo_cpg
TMEM86A,gamo_cpg
GTF2H1,gamo_cpg
HPS5,gamo_cpg
TPH1,gamo_cpg
SERGEF,gamo_cpg
Otog,gamo_cpg
Ush1c,gamo_cpg
ABCC8,gamo_cpg
NUCB2,gamo_cpg
PIK3C2A,gamo_cpg
PLEKHA7,gamo_cpg
Insc,gamo_cpg
COPB1,gamo_cpg
TRIM66,gamo_cpg
Nrip3,gamo_cpg
DENND5A,gamo_cpg
IPO7,gamo_cpg
AMPD3,gamo_cpg
RNF141,gamo_cpg
EIF4G2,gamo_cpg
Foxm1,gamo_cpg
Asb10,gamo_cpg
GBX1,gamo_cpg
AGAP3,gamo_cpg
FASTK,gamo_cpg
SLC4A2,gamo_cpg
Ptpn23,gamo_cpg
SCAP,gamo_cpg
elp6,gamo_cpg
SMARCC1,gamo_cpg
DHX30,gamo_cpg
MAP4,gamo_cpg
Trim39,gamo_cpg
ZNF777,gamo_cpg
ZNF282,gamo_cpg
KLHL18,gamo_cpg
WNT9A,gamo_cpg
Arf1,gamo_cpg
Guk1,gamo_cpg
Obscn,gamo_cpg
Hhatl,gamo_cpg
ZBTB47,gamo_cpg
Mindy4,gamo_cpg
VIL1,gamo_cpg
Map3k3,gamo_cpg
cry-dash,gamo_cpg
MYD88,gamo_cpg
CSRNP1,gamo_cpg
CELA1,gamo_cpg
ACVR2B,gamo_cpg
Crygn,gamo_cpg
KMT2C,gamo_cpg
ACTR3B,gamo_cpg
PAXIP1,gamo_cpg
LMBR1,gamo_cpg
DNAJB6,gamo_cpg
PTPRN2,gamo_cpg
ncapg2,gamo_cpg
esyt2-a,gamo_cpg
ZMYND11,gamo_cpg
DIP2C,gamo_cpg
Klf6,gamo_cpg
CUL2,gamo_cpg
PARD3,gamo_cpg
NRP1,gamo_cpg
ITGB1,gamo_cpg
ZEB1,gamo_cpg
ZNF438,gamo_cpg
SVIL,gamo_cpg
MAP3K8,gamo_cpg
Armc4,gamo_cpg
pks5,gamo_cpg
XAC2392,gamo_cpg
GAD2,gamo_cpg
KIAA1217,gamo_cpg
ARMC3,gamo_cpg
Spag6,gamo_cpg
BMI1,gamo_cpg
MRC1,gamo_cpg
HACD1,gamo_cpg
VIM,gamo_cpg
CUBN,gamo_cpg
PTER,gamo_cpg
NMT2,gamo_cpg
ADAM22,gamo_cpg
AKAP9,gamo_cpg
PEX1,gamo_cpg
VPS50,gamo_cpg
acdh-6,gamo_cpg
ASNS,gamo_cpg
C1GALT1,gamo_cpg
Glcci1,gamo_cpg
VWDE,gamo_cpg
DGKB,gamo_cpg
Agmo,gamo_cpg
AHR,gamo_cpg
CDCA7L,gamo_cpg
CCDC126,gamo_cpg
Creb5,gamo_cpg
Tbc1d5,gamo_cpg
PP2D1,gamo_cpg
RAB5A,gamo_cpg
KAT2B,gamo_cpg
OR14J1,gamo_cpg
NKIRAS1,gamo_cpg
Rpl15,gamo_cpg
TOP2B,gamo_cpg
OXSM,gamo_cpg
AZI2,gamo_cpg
TRIM71,gamo_cpg
Ano10,gamo_cpg
Fam198a,gamo_cpg
GGCT,gamo_cpg
mturn,gamo_cpg
SH3BP5,gamo_cpg
PIK3R4,gamo_cpg
NEK11,gamo_cpg
ACPP,gamo_cpg
Ccr8,gamo_cpg
GLB1,gamo_cpg
CTNNB1,gamo_cpg
TGM4,gamo_cpg
CDCP1,gamo_cpg
Limd1,gamo_cpg
sacm1l,gamo_cpg
KBTBD2,gamo_cpg
NT5C3A,gamo_cpg
Bmper,gamo_cpg
HERPUD2,gamo_cpg
7-Sep,gamo_cpg
AOAH,gamo_cpg
MLH1,gamo_cpg
COA1,gamo_cpg
EZH2,gamo_cpg
STAC,gamo_cpg
CLASP2,gamo_cpg
VPS41,gamo_cpg
AMPH,gamo_cpg
NEUROD6,gamo_cpg
6-Mar,gamo_cpg
Sbk2,gamo_cpg
Abca13,gamo_cpg
FIGNL1,gamo_cpg
GRB10,gamo_cpg
DNAH5,gamo_cpg
TRIO,gamo_cpg
Ankh,gamo_cpg
Fbxl7,gamo_cpg
ZNF622,gamo_cpg
RETREG1,gamo_cpg
DROSHA,gamo_cpg
PIGN,gamo_cpg
MARVELD3,gamo_cpg
SERPINB10,gamo_cpg
SERPINB1,gamo_cpg
Foxf2,gamo_cpg
dusp22,gamo_cpg
BPHL,gamo_cpg
Tubulin,gamo_cpg
Fars2,gamo_cpg
F13A1,gamo_cpg
RIOK1,gamo_cpg
Bmp6,gamo_cpg
NEDD9,gamo_cpg
TBC1D7,gamo_cpg
Atxn1,gamo_cpg
GMPR,gamo_cpg
RANBP9,gamo_cpg
KIF13A,gamo_cpg
Dek,gamo_cpg
ID4,gamo_cpg
MBOAT1,gamo_cpg
Cdkal1,gamo_cpg
Sall3,gamo_cpg
Nfatc1,gamo_cpg
RECK,gamo_cpg
BRD9,gamo_cpg
Ift172,gamo_cpg
NRBP1,gamo_cpg
PPM1G,gamo_cpg
RNF19A,gamo_cpg
ZNF513,gamo_cpg
Snx17,gamo_cpg
CAD,gamo_cpg
Trim54,gamo_cpg
Gtf3c2,gamo_cpg
PREB,gamo_cpg
Emilin1,gamo_cpg
Agbl5,gamo_cpg
TMEM214,gamo_cpg
DPYSL5,gamo_cpg
DNMT3A,gamo_cpg
VSTM2A,gamo_cpg
FHOD3,gamo_cpg
TMEM245,gamo_cpg
PTPN3,gamo_cpg
PCBP3,gamo_cpg
BAG1,gamo_cpg
SDHA,gamo_cpg
TERT,gamo_cpg
IRX4,gamo_cpg
INVS,gamo_cpg
NR4A3,gamo_cpg
CARMIL1,gamo_cpg
RIPOR2,gamo_cpg
ZNF236,gamo_cpg
ZADH2,gamo_cpg
C18orf63,gamo_cpg
WWP1,gamo_cpg
ATAD2,gamo_cpg
HEY1,gamo_cpg
GDAP1,gamo_cpg
LY96,gamo_cpg
lactb2,gamo_cpg
NCOA2,gamo_cpg
PRDM14,gamo_cpg
SLCO5A1,gamo_cpg
PREX2,gamo_cpg
Adhfe1,gamo_cpg
Trim55,gamo_cpg
CYP7B1,gamo_cpg
CHD7,gamo_cpg
SDR16C5,gamo_cpg
PLAG1,gamo_cpg
RP1,gamo_cpg
ST18,gamo_cpg
Selenoi,gamo_cpg
DTNA,gamo_cpg
KLHL14,gamo_cpg
TRAPPC8,gamo_cpg
Taf4b,gamo_cpg
TTC39C,gamo_cpg
LAMA3,gamo_cpg
EMILIN2,gamo_cpg
MYOM1,gamo_cpg
DLGAP1,gamo_cpg
EPB41L3,gamo_cpg
TMEM200C,gamo_cpg
ARHGAP28,gamo_cpg
LAMA1,gamo_cpg
ANKRD12,gamo_cpg
TWSG1,gamo_cpg
Rab31,gamo_cpg
Piezo2,gamo_cpg
Cidea,gamo_cpg
CEP192,gamo_cpg
LDLRAD4,gamo_cpg
CDH7,gamo_cpg
NDC80,gamo_cpg
SH3RF2,gamo_cpg
LARS,gamo_cpg
RBM27,gamo_cpg
Dpysl3,gamo_cpg
lrrc14,gamo_cpg
ARHGAP39,gamo_cpg
Feather,gamo_cpg
bmb,gamo_cpg
TIGD5,gamo_cpg
EEF1D,gamo_cpg
PTK2,gamo_cpg
TRAPPC9,gamo_cpg
ZFAT,gamo_cpg
ST3GAL1,gamo_cpg
TG,gamo_cpg
Asap1,gamo_cpg
WASHC5,gamo_cpg
MTSS1,gamo_cpg
Tatdn1,gamo_cpg
RNF139,gamo_cpg
TMEM65,gamo_cpg
FER1L6,gamo_cpg
FBXO32,gamo_cpg
Sntb1,gamo_cpg
MTBP,gamo_cpg
DSCC1,gamo_cpg
MAL2,gamo_cpg
TNFRSF11B,gamo_cpg
EXT1,gamo_cpg
EIF3H,gamo_cpg
CSMD3,gamo_cpg
NUDCD1,gamo_cpg
Dpys,gamo_cpg
ATP6V1C1,gamo_cpg
UBR5,gamo_cpg
NCALD,gamo_cpg
GRHL2,gamo_cpg
YWHAZ,gamo_cpg
SNX31,gamo_cpg
ANKRD46,gamo_cpg
SPAG1,gamo_cpg
POP1,gamo_cpg
INTS8,gamo_cpg
DPY19L4,gamo_cpg
gbp,gamo_cpg
ESRP1,gamo_cpg
Virma,gamo_cpg
PDP1,gamo_cpg
RUNX1T1,gamo_cpg
Slc26a7,gamo_cpg
NBN,gamo_cpg
env,gamo_cpg
Cep250,gamo_cpg
FSIP2,gamo_cpg
MAP1LC3A,gamo_cpg
Fer1l4,gamo_cpg
PHF20,gamo_cpg
NDRG3,gamo_cpg
CHD6,gamo_cpg
PIGU,gamo_cpg
Tp53inp2,gamo_cpg
Ncoa6,gamo_cpg
GGT7,gamo_cpg
MYL9,gamo_cpg
Tgif2,gamo_cpg
DLGAP4,gamo_cpg
AAR2,gamo_cpg
Epb41l1,gamo_cpg
L3MBTL1,gamo_cpg
EIF2S2,gamo_cpg
Raly,gamo_cpg
PLIN3,gamo_cpg
ZNF341,gamo_cpg
Necab3,gamo_cpg
Actl10,gamo_cpg
CBFA2T2,gamo_cpg
Tox2,gamo_cpg
MYH7,gamo_cpg
ACSS2,gamo_cpg
SOGA1,gamo_cpg
PTPRT,gamo_cpg
ACTR5,gamo_cpg
DHX35,gamo_cpg
