gene,species
CRYL1,gamo_cpg
MPHOSPH8,gamo_cpg
RNF17,gamo_cpg
ARHGAP20,gamo_cpg
RDX,gamo_cpg
CWF19L2,gamo_cpg
VMO1,gamo_cpg
DYNC2H1,gamo_cpg
YAP1,gamo_cpg
TRPC6,gamo_cpg
ARHGAP42,gamo_cpg
Ccdc82,gamo_cpg
MRE11,gamo_cpg
PANX1,gamo_cpg
TM4SF1,gamo_cpg
ANKRD7,gamo_cpg
CHORDC1,gamo_cpg
CTSC,gamo_cpg
Me3,gamo_cpg
Rab30,gamo_cpg
Picalm,gamo_cpg
HIKESHI,gamo_cpg
GAB2,gamo_cpg
Aqp11,gamo_cpg
Pak1,gamo_cpg
GDPD5,gamo_cpg
Myo7a,gamo_cpg
Capn5,gamo_cpg
TSKU,gamo_cpg
A2M,gamo_cpg
M6PR,gamo_cpg
A2ML1,gamo_cpg
Trypsin,gamo_cpg
EPHB5,gamo_cpg
Fam131b,gamo_cpg
EPHA1,gamo_cpg
Dysf,gamo_cpg
CYP26B1,gamo_cpg
Lrrc58,gamo_cpg
HGD,gamo_cpg
CTC1,gamo_cpg
SIDT1,gamo_cpg
WDR3,gamo_cpg
WARS2,gamo_cpg
MRPL51,gamo_cpg
NCAPD2,gamo_cpg
IFFO1,gamo_cpg
Chd4,gamo_cpg
WNT4,gamo_cpg
GPR162,gamo_cpg
Atn1,gamo_cpg
Clstn3,gamo_cpg
Vangl1,gamo_cpg
Boc,gamo_cpg
spire1,gamo_cpg
GTPBP8,gamo_cpg
NME7,gamo_cpg
ATP1B1,gamo_cpg
DPT,gamo_cpg
Dcbld2,gamo_cpg
TFG,gamo_cpg
ABI3BP,gamo_cpg
SENP7,gamo_cpg
ZBTB11,gamo_cpg
NXPE3,gamo_cpg
CBLB,gamo_cpg
BBX,gamo_cpg
CD47,gamo_cpg
Myh6,gamo_cpg
RCJMB04_1n3,gamo_cpg
PHLDB2,gamo_cpg
TAGLN3,gamo_cpg
TMPRSS7,gamo_cpg
USP16,gamo_cpg
PAXBP1,gamo_cpg
Putative,gamo_cpg
NUMA1,gamo_cpg
Inppl1,gamo_cpg
Arap1,gamo_cpg
EMSY,gamo_cpg
THAP12,gamo_cpg
GH,gamo_cpg
Atp5pf,gamo_cpg
EURL,gamo_cpg
NRIP1,gamo_cpg
Robo2,gamo_cpg
BCL9,gamo_cpg
Cd80,gamo_cpg
IGSF3,gamo_cpg
CD101,gamo_cpg
ZNF286A,gamo_cpg
DUSP27,gamo_cpg
DCAF6,gamo_cpg
Crybg3,gamo_cpg
ARL13B,gamo_cpg
EPHA3,gamo_cpg
N6amt1,gamo_cpg
Rps3,gamo_cpg
Arhgef17,gamo_cpg
PAAF1,gamo_cpg
HUNK,gamo_cpg
SCAF4,gamo_cpg
SOD1,gamo_cpg
COL4A3BP,gamo_cpg
FCRL3,gamo_cpg
SHF,gamo_cpg
ALPK3,gamo_cpg
MALT1,gamo_cpg
Znf592,gamo_cpg
DUOXA1,gamo_cpg
DUOX2,gamo_cpg
